"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.576811667E-1,3.450054944E-1,2.111345226E0,2.823502325E0,3.542452940E0
8.677341667E-1,-3.255715423E-1,1.775695752E0,5.805788130E-1,1.896355449E0
8.777871667E-1,-1.162297175E0,1.761772800E0,-1.519253392E0,2.600559361E0
8.878401667E-1,-7.222192068E-1,2.954422653E0,-3.186775215E0,4.405195803E0
8.978931667E-1,-1.116938788E-1,2.125921165E0,-4.552012362E0,5.025219683E0
9.079451667E-1,-8.518375059E-1,1.311916533E0,-7.407336404E0,7.570692486E0
9.179981667E-1,-9.623965133E-1,2.052800125E0,-1.021219722E1,1.046083971E1
9.280511667E-1,2.081320797E-1,3.428243587E0,-1.132079072E1,1.183032018E1
9.381041667E-1,1.263140668E0,4.016916701E0,-1.252746541E1,1.321622237E1
9.481571667E-1,1.254534590E0,3.662964857E0,-1.338288382E1,1.393171734E1
9.582101667E-1,5.173027302E-1,2.697988333E0,-1.374760156E1,1.401938985E1
9.682631667E-1,-1.385753418E0,1.345575884E0,-1.357793875E1,1.371463845E1
9.783161667E-1,8.256253883E-2,1.346838298E0,-1.013844746E1,1.022784957E1
9.883691667E-1,1.611940677E0,3.400633181E-1,-1.035659304E1,1.048680195E1
9.984221667E-1,3.979821672E0,8.720978158E-1,-8.630468668E0,9.543821278E0
1.008475167E0,4.814639468E0,-1.594997346E0,-8.054104528E0,9.518054922E0
1.018528167E0,3.742645741E0,-5.050935978E0,-8.848094434E0,1.085394520E1
1.028581167E0,2.812440562E0,-5.990404608E0,-8.589298423E0,1.084300773E1
1.038634167E0,3.014352520E0,-4.444230051E0,-7.859960012E0,9.519268525E0
1.048687167E0,2.681157122E0,-2.773520325E0,-8.293291901E0,9.146568158E0
1.058740167E0,2.742017574E0,-2.242835511E0,-7.987722259E0,8.738001968E0
1.068793167E0,2.939319587E0,-3.291874531E0,-8.105981026E0,9.229461845E0
1.078846167E0,1.947416050E0,-4.407476208E0,-7.292212329E0,8.740402533E0
1.088899167E0,5.588363801E-1,-2.511903618E0,-4.949843466E0,5.578790929E0
1.098952167E0,-4.910519479E-1,-1.319319985E0,-6.927283507E0,7.068875018E0
1.109005167E0,2.784139308E-1,-1.309774552E0,-7.172598762E0,7.296519492E0
1.119058167E0,2.088854203E-1,-1.328452021E0,-6.562759897E0,6.699121984E0
1.129111167E0,-1.483179141E-1,-1.727042971E0,-5.460515308E0,5.729040326E0
1.139164167E0,-1.783452668E-1,-2.294821790E0,-3.623140640E0,4.292454098E0
1.149217167E0,-3.784325279E-1,-2.755780458E0,-1.124219595E0,3.000234459E0
1.159269167E0,-3.306710087E-2,-2.951926476E0,2.000596184E0,3.566139151E0
1.169322167E0,5.387340912E-1,-2.355610175E0,6.872817278E0,7.285242004E0
1.179375167E0,1.885608203E0,-1.831748330E0,1.206382097E1,1.234692660E1
1.189428167E0,2.286054475E0,-1.997420854E0,1.556341111E1,1.585671784E1
1.199481167E0,8.559837665E-1,-2.130265062E0,1.762603397E1,1.777492085E1
1.209534167E0,-2.335831091E-2,-3.005628474E0,1.910285821E1,1.933787838E1
1.219587167E0,-4.293940821E-1,-4.839645963E0,1.972540659E1,2.031497520E1
1.229640167E0,1.604679897E-1,-6.169221234E0,2.052685403E1,2.143447636E1
1.239693167E0,1.226173913E0,-6.531881921E0,2.073214276E1,2.177132810E1
