"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.527317083E0,-2.959409158E0,-5.287985024E-1,1.252904240E0,3.256915636E0
1.537370083E0,-2.933481435E0,1.502696416E-1,1.217648746E0,3.179711113E0
1.547423083E0,-2.916900485E0,5.959233686E-1,1.009352798E0,3.143600829E0
1.557476875E0,-2.937448186E0,8.372914606E-1,6.288709670E-1,3.118515276E0
1.567529875E0,-3.105719942E0,1.187816544E0,2.610384178E-1,3.335347892E0
1.577582875E0,-3.231545007E0,1.598950941E0,-7.870995462E-2,3.606344756E0
1.587635875E0,-3.292397565E0,1.938705453E0,-4.190120584E-1,3.843700257E0
1.597688875E0,-3.284250639E0,2.281783522E0,-7.033406670E-1,4.060483518E0
1.607741875E0,-3.279346579E0,2.579288685E0,-8.312466091E-1,4.254152681E0
1.617794875E0,-3.421935026E0,2.738396101E0,-7.702291596E-1,4.449910728E0
1.627848875E0,-3.557761753E0,2.947530540E0,-6.003138967E-1,4.658967884E0
1.637901875E0,-3.558862783E0,3.363548239E0,-2.116120501E-1,4.901401914E0
1.647954875E0,-3.450454236E0,4.011852427E0,4.897684841E-1,5.314176088E0
1.658007875E0,-3.306980520E0,4.889231229E0,1.347508243E0,6.054459566E0
1.668060875E0,-3.107761205E0,5.980233961E0,2.152272227E0,7.074860683E0
1.678113875E0,-2.984927577E0,7.095218464E0,2.637286340E0,8.136780502E0
1.688166875E0,-2.856587040E0,7.732527548E0,2.671590493E0,8.665417910E0
1.698219875E0,-2.703190600E0,7.622623283E0,2.221488204E0,8.387290085E0
1.708272875E0,-2.594831169E0,7.080806247E0,1.251166740E0,7.644369439E0
1.718325875E0,-2.429145051E0,6.587518762E0,2.110165112E-1,7.024291928E0
1.728379875E0,-2.176937099E0,6.348381675E0,-6.600489056E-1,6.743639195E0
1.738432875E0,-1.800670525E0,6.227402199E0,-1.161152948E0,6.585683614E0
1.748485875E0,-1.427424624E0,6.099908924E0,-1.276472320E0,6.393419392E0
1.758538875E0,-1.164644321E0,5.935067144E0,-1.077538641E0,6.143493137E0
1.768591875E0,-8.496056968E-1,5.764588648E0,-5.437653279E-1,5.852178471E0
1.778644875E0,-5.326871932E-1,5.624428550E0,4.578837633E-2,5.649783070E0
1.788697875E0,-2.874391812E-1,5.452613965E0,3.241193497E-1,5.469796494E0
1.798750875E0,-1.211841291E-1,5.217119109E0,3.765761831E-1,5.232095853E0
1.808803875E0,-1.853228223E-1,5.256579044E0,5.140336981E-1,5.284902879E0
1.818857875E0,3.927867115E-1,5.695330718E0,8.011433887E-1,5.764798705E0
1.828910875E0,1.026893860E0,5.970821698E0,6.127846920E-1,6.089394702E0
1.838963875E0,-1.480468225E-1,5.799542719E0,9.004048446E-1,5.870889412E0
1.849016875E0,-1.322681111E0,5.582352571E0,1.634300868E0,5.965155897E0
1.859069875E0,-2.316794311E0,5.271419862E0,2.162770464E0,6.150851918E0
1.869122875E0,-3.063388440E0,5.009868643E0,2.442223226E0,6.359841731E0
1.879175875E0,-3.567131916E0,4.877673038E0,2.478228918E0,6.531289531E0
1.889228875E0,-3.840762312E0,5.050653557E0,2.430315956E0,6.794629655E0
1.899281875E0,-4.098569559E0,5.420022755E0,2.572141634E0,7.265729948E0
1.909334875E0,-4.025723192E0,5.670966539E0,3.120228639E0,7.622475678E0
1.919388875E0,-3.784095776E0,5.700262259E0,3.285815354E0,7.590056206E0
1.929441875E0,-3.835455379E0,5.843412623E0,3.104338830E0,7.648078754E0
1.939494875E0,-4.104519686E0,5.952633934E0,2.844451729E0,7.769931675E0
1.949547875E0,-4.562387077E0,5.536688740E0,2.612768673E0,7.635237926E0
1.959600875E0,-4.970936712E0,4.768497335E0,2.373111476E0,7.285632211E0
1.969653875E0,-5.351157757E0,4.024771265E0,2.040511617E0,6.999811479E0
1.979706875E0,-5.445914226E0,3.581841756E0,1.526405706E0,6.694586357E0
1.989759875E0,-5.540416340E0,3.260352192E0,9.304662573E-1,6.495527468E0
1.999812875E0,-5.833608012E0,2.818359406E0,3.537980622E-1,6.488397741E0
2.009866875E0,-5.937211903E0,2.374198473E0,-1.295669898E-1,6.395630631E0
2.019919875E0,-5.756176844E0,2.066787835E0,-3.907311228E-1,6.128446346E0
2.029972875E0,-5.353375606E0,1.927752156E0,-4.695325863E-1,5.709231087E0
2.040025875E0,-4.869472318E0,1.881884550E0,-5.883281279E-1,5.253511216E0
