"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.165114958E0,2.890198663E-1,3.874306619E-2,1.449008743E-1,3.256221302E-1
1.175168958E0,1.243248879E-1,2.121428311E-2,1.880066943E-1,2.263917858E-1
1.185223958E0,1.093988467E-2,-5.615782857E-2,1.442521258E-1,1.551839508E-1
1.195277958E0,-6.482946865E-2,-1.453389770E-1,6.574967422E-2,1.721897148E-1
1.205331958E0,6.521205928E-2,-1.301999509E-1,-1.143247604E-2,1.460662227E-1
1.215386833E0,-6.350708429E-2,-2.508689404E-2,5.573449016E-2,8.814099727E-2
1.225440833E0,-3.899518717E-1,6.128408253E-2,1.829208592E-1,4.350611931E-1
1.235494833E0,-7.068068965E-1,7.119862139E-2,2.552123252E-1,7.548367794E-1
1.245549833E0,-7.253792614E-1,9.982425034E-2,1.813326824E-1,7.543351347E-1
1.255603833E0,-3.965704082E-1,1.560896677E-1,1.149527514E-1,4.414138739E-1
1.265657833E0,1.791619767E-2,8.230248392E-2,1.686453938E-2,8.590169781E-2
1.275712833E0,1.879731825E-1,1.351876259E-2,-9.511007890E-3,1.886985255E-1
1.285766833E0,2.634654326E-1,2.143881619E-2,-3.793074176E-2,2.670438132E-1
1.295820833E0,1.880889573E-1,9.443194807E-2,-3.776365757E-2,2.138245601E-1
1.305875833E0,1.455224334E-1,6.096131623E-2,-6.190198705E-2,1.694842668E-1
1.315929833E0,1.908473448E-1,-4.389680207E-2,-1.151422012E-1,2.271725440E-1
1.325983833E0,3.013856128E-1,-1.514382076E-1,2.003504589E-2,3.378878829E-1
1.336038833E0,4.559157367E-1,-2.556092781E-1,1.872361775E-1,5.552050506E-1
1.346092833E0,5.441265762E-1,-4.140968889E-1,1.614616509E-1,7.025808345E-1
1.356146833E0,5.836553255E-1,-5.006795347E-1,6.531924605E-2,7.717513455E-1
1.366201833E0,8.092781813E-1,-4.281430703E-1,4.673240930E-3,9.155651275E-1
1.376255833E0,9.135338172E-1,-3.374743903E-1,4.303901553E-2,9.748258080E-1
1.386309833E0,7.237256688E-1,-2.212609792E-1,2.445982401E-1,7.953386471E-1
1.396364833E0,3.355187524E-1,3.632699668E-2,3.314084888E-1,4.729947889E-1
1.406418833E0,-1.017996042E-1,1.441239256E-1,1.441044836E-1,2.278178385E-1
1.416472833E0,-2.704568204E-1,8.684577048E-2,1.561439006E-1,3.241450250E-1
1.426527833E0,-1.390863483E-1,-1.109678739E-1,2.795800848E-1,3.313968997E-1
1.436581833E0,2.653394104E-1,-3.870207721E-1,5.146425395E-1,6.964531744E-1
1.446635833E0,4.661694872E-1,-5.199513727E-1,5.812108970E-1,9.085535359E-1
1.456690833E0,4.826363062E-1,-5.266095972E-1,6.357025614E-1,9.562286435E-1
1.466744833E0,4.654614624E-1,-2.765265226E-1,7.441844916E-1,9.202890026E-1
1.476798833E0,2.771217692E-1,1.582695097E-1,8.851645155E-1,9.409367312E-1
1.486853833E0,1.022680941E-1,4.454198384E-1,9.094781153E-1,1.017844800E0
1.496907833E0,4.686155967E-2,3.291193038E-1,7.071447194E-1,7.813892603E-1
