"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.328897083E-1,7.521274078E0,1.176940080E1,-2.398188137E0,1.417179118E1
8.429480834E-1,7.750830503E0,1.163143808E1,-2.997683862E0,1.429516820E1
8.530020834E-1,7.946298829E0,1.098971435E1,-3.390962909E0,1.397913145E1
8.630560833E-1,8.227477981E0,1.046217154E1,-3.822295636E0,1.384768468E1
8.731110833E-1,8.540910959E0,9.835975671E0,-4.110892566E0,1.365990538E1
8.831650834E-1,9.003737374E0,9.112851096E0,-4.213052194E0,1.348559048E1
8.932190834E-1,9.571366358E0,8.188642529E0,-3.833079656E0,1.316652650E1
9.032730833E-1,9.464518433E0,7.294345393E0,-2.943177288E0,1.230637544E1
9.133280833E-1,8.807363314E0,6.582735740E0,-2.354692454E0,1.124484926E1
9.233820834E-1,8.108399434E0,6.089814291E0,-2.152633878E0,1.036657186E1
9.334360833E-1,7.432934344E0,5.676620797E0,-2.101343271E0,9.585832264E0
9.434910833E-1,6.835737745E0,5.323685784E0,-2.032566567E0,8.899453224E0
9.535450834E-1,6.604275128E0,5.194528391E0,-1.952153757E0,8.626150907E0
9.635990834E-1,6.404331343E0,5.266701744E0,-1.713731784E0,8.467023316E0
9.736530833E-1,5.729422908E0,5.450335890E0,-1.717352380E0,8.092079299E0
9.837080833E-1,4.856114938E0,5.857521370E0,-1.644889006E0,7.784476138E0
9.937620834E-1,3.877938910E0,6.316902605E0,-1.240913501E0,7.515419817E0
1.003816083E0,2.276897004E0,5.959903777E0,-8.272032595E-1,6.433426632E0
1.013871083E0,-3.173418421E-1,4.515127833E0,-6.689916372E-1,4.575438231E0
1.023925083E0,-4.547291905E0,2.218888824E0,-6.012512054E-1,5.095373813E0
1.033979083E0,-1.023047796E1,-1.329975805E0,8.208385652E-1,1.034916860E1
1.044033083E0,-1.656433632E1,-6.236242020E0,4.152697819E0,1.818001241E1
1.054088083E0,-2.200138616E1,-1.111114815E1,8.524155763E0,2.608025763E1
1.064142083E0,-2.524690894E1,-1.467052725E1,1.246651403E1,3.174972052E1
1.074196083E0,-2.622799220E1,-1.610643618E1,1.443691227E1,3.399631300E1
1.084251083E0,-2.579240504E1,-1.614329235E1,1.479682594E1,3.383489476E1
1.094305083E0,-2.510751833E1,-1.624113264E1,1.455791923E1,3.325800473E1
1.104359083E0,-2.403827075E1,-1.601284682E1,1.345523142E1,3.186366232E1
1.114413083E0,-2.142187330E1,-1.522961111E1,1.081781556E1,2.842292813E1
1.124468083E0,-1.857254733E1,-1.331115954E1,7.987536317E0,2.420593355E1
1.134522083E0,-1.613843916E1,-1.081426280E1,5.483432300E0,2.018577539E1
1.144576083E0,-1.258361271E1,-7.646706795E0,2.547481002E0,1.494353014E1
1.154631083E0,-8.155122780E0,-3.899448185E0,-3.881685805E-1,9.047784179E0
1.164685083E0,-3.745363820E0,-2.833224490E-1,-3.175860218E0,4.918750845E0
1.174739083E0,7.252617323E-1,2.984780519E0,-5.705434706E0,6.479730281E0
1.184793083E0,3.418252450E0,5.516104202E0,-6.908000559E0,9.477991723E0
1.194848083E0,4.923946148E0,6.575308607E0,-6.940258479E0,1.075393494E1
1.204902083E0,6.948631691E0,7.126388801E0,-6.844954711E0,1.207983049E1
1.214956083E0,8.806396185E0,7.913709957E0,-7.488616794E0,1.400923983E1
1.225011083E0,9.917513924E0,7.996244575E0,-8.304430847E0,1.520725424E1
1.235065083E0,1.079249478E1,7.671163943E0,-8.434742480E0,1.569934969E1
1.245119083E0,1.132862248E1,6.905109111E0,-7.994057132E0,1.548945346E1
1.255173083E0,1.144856758E1,5.774159371E0,-7.837606106E0,1.502793018E1
1.265228083E0,1.137026167E1,4.952324440E0,-7.538574235E0,1.451338931E1
