"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.377281417E0,-7.615103032E-1,-1.552369975E-1,1.829798430E-1,7.984222506E-1
1.387334417E0,-9.645615180E-1,-1.395670442E-1,1.862928754E-1,9.922514385E-1
1.397387417E0,-1.131908611E0,-1.308338622E-1,1.494121474E-1,1.149199109E0
1.407441417E0,-1.142968107E0,-1.186171284E-1,9.995171964E-2,1.153445475E0
1.417494417E0,-9.918251111E-1,-1.126653206E-1,1.527661103E-1,1.009825732E0
1.427547417E0,-7.116955342E-1,-8.096149810E-2,2.545649654E-1,7.601767026E-1
1.437600417E0,-4.327517726E-1,-2.496366397E-2,3.122272825E-1,5.342126517E-1
1.447654417E0,-2.095289064E-1,1.595865950E-2,2.605694711E-1,3.347439181E-1
1.457707417E0,-5.540624209E-2,4.778052270E-2,2.017903358E-1,2.146442863E-1
1.467760417E0,7.176711693E-2,6.372682996E-2,1.461412150E-1,1.748395912E-1
1.477813417E0,1.936718423E-1,1.387779625E-1,1.962044907E-1,3.086491658E-1
1.487867417E0,2.256177396E-1,1.672680091E-1,2.738379729E-1,3.922616304E-1
1.497920417E0,9.678384438E-2,1.966719756E-1,4.102500057E-1,4.651365882E-1
1.507973417E0,-5.944337904E-2,2.287625914E-1,5.333941215E-1,5.834167699E-1
1.518027417E0,-1.348673446E-1,3.663373431E-1,6.284341800E-1,7.398119817E-1
1.528080417E0,-1.297957622E-1,5.364614978E-1,5.616759342E-1,7.874755447E-1
1.538133417E0,-8.955237351E-2,7.555269206E-1,4.812147385E-1,9.002267380E-1
1.548186417E0,9.084036894E-2,1.089656777E0,4.854405212E-1,1.196351271E0
1.558240417E0,5.616272561E-2,1.173237754E0,5.271007633E-1,1.287430112E0
1.568293417E0,-8.111221008E-2,1.224773432E0,4.189161640E-1,1.296973362E0
1.578346417E0,-1.092091046E-1,1.631040168E0,4.948194551E-1,1.707941730E0
1.588399417E0,1.890726417E-2,1.491194066E0,1.013161089E0,1.802917807E0
1.598453417E0,-3.536460346E-1,9.792997174E-1,7.613992792E-1,1.289892366E0
1.608506417E0,-7.154423569E-1,9.671549043E-1,7.866955036E-1,1.437406063E0
1.618559417E0,-1.189564130E0,1.470809502E0,1.237843859E0,2.260663803E0
1.628612417E0,-1.358079716E0,1.843860399E0,1.296974997E0,2.631795172E0
1.638666417E0,-1.302289385E0,1.570123583E0,1.047514066E0,2.293148802E0
1.648719417E0,-8.728648974E-1,1.501405204E0,1.111458632E0,2.061904704E0
1.658772417E0,-3.824735021E-1,1.739975550E0,1.180429464E0,2.137104259E0
1.668825417E0,-2.464736980E-1,1.617848265E0,9.276771355E-1,1.881161120E0
1.678879417E0,-4.621912609E-1,1.339568455E0,7.525980502E-1,1.604514952E0
1.688932417E0,-4.712098601E-1,1.079258161E0,7.898114848E-1,1.417970061E0
1.698985417E0,-3.509291989E-1,5.487051288E-1,1.024329856E0,1.213869958E0
1.709038417E0,-3.236862903E-1,4.635787686E-2,1.342316061E0,1.381569497E0
1.719092417E0,1.693113917E-1,1.543646294E-1,1.888206267E0,1.902056175E0
1.729145417E0,6.185159867E-1,-1.929006128E-1,1.763926038E0,1.879150802E0
1.739198417E0,7.024420962E-1,-3.331439424E-1,1.489080589E0,1.679812724E0
1.749252417E0,7.081086329E-1,9.480310008E-3,1.466724930E0,1.628738694E0
1.759305417E0,5.880351458E-1,2.645791993E-3,9.850225335E-1,1.147197335E0
1.769358417E0,1.567941475E-1,5.173415411E-2,3.147322297E-2,1.680815016E-1
