"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.244945750E0,7.003771520E-1,-1.706818914E0,-8.475916234E-1,2.030312911E0
1.254999750E0,8.835984850E-1,-1.671104559E0,-8.999958318E-1,2.093640186E0
1.265053750E0,1.094710452E0,-1.637435853E0,-9.886478072E-1,2.203862889E0
1.275107750E0,1.230637166E0,-1.601313362E0,-1.103447946E0,2.301362572E0
1.285161750E0,1.268752241E0,-1.612194592E0,-1.126922763E0,2.340696171E0
1.295215750E0,1.276385781E0,-1.660485284E0,-1.118819692E0,2.374474583E0
1.305269750E0,1.242815162E0,-1.700331282E0,-1.100410903E0,2.376261801E0
1.315323750E0,1.167858535E0,-1.676255517E0,-1.064152903E0,2.303507655E0
1.325377750E0,1.062002882E0,-1.663026630E0,-9.765393931E-1,2.201621421E0
1.335431750E0,9.718896872E-1,-1.619600822E0,-8.740501280E-1,2.081259237E0
1.345485750E0,8.404951501E-1,-1.563350753E0,-7.522192968E-1,1.927778915E0
1.355539750E0,6.683741713E-1,-1.541194337E0,-5.635547908E-1,1.771891086E0
1.365593750E0,5.115366447E-1,-1.564352966E0,-3.841217226E-1,1.690094506E0
1.375647750E0,3.733558291E-1,-1.622579539E0,-2.371104419E-1,1.681778909E0
1.385701750E0,2.099887168E-1,-1.712835406E0,-1.223373462E-1,1.729990409E0
1.395755750E0,3.415007830E-2,-1.831964824E0,-1.810239494E-2,1.832372517E0
1.405809750E0,-1.375270969E-1,-1.918979286E0,1.596874595E-3,1.923901701E0
1.415863750E0,-3.600709552E-1,-2.034851220E0,-3.851034701E-2,2.066822108E0
1.425917750E0,-5.413948667E-1,-2.143373496E0,-2.247201920E-2,2.210806038E0
1.435971750E0,-6.453507596E-1,-2.207023216E0,4.342332378E-2,2.299851009E0
1.446025750E0,-6.502630055E-1,-2.263062053E0,1.355033755E-1,2.358527719E0
